"city","lat","lng","population","country"
"Mpwapwa","-6.3500","36.4833","19806","Tanzania"
"Bububu","-6.1658","39.1992","15666","Tanzania"
"Babati","-4.2117","35.7475","30975","Tanzania"
"Tabora","-5.0167","32.8000","127880","Tanzania"
"Nzega","-4.2096","33.1800","26584","Tanzania"
"Tunduma","-9.3000","32.7667","36556","Tanzania"
"Njombe","-9.3296","34.7700","46724","Tanzania"
"Morogoro","-6.8242","37.6633","207000","Tanzania"
"Iringa","-7.7700","35.6900","111820","Tanzania"
"Manyoni","-5.7796","34.9000","310","Tanzania"
"Bagamoyo","-6.4333","38.9000","35000","Tanzania"
"Ifakara","-8.1296","36.6800","49528","Tanzania"
"Ngorongoro","-3.2496","35.5200","10836","Tanzania"
"Kanyato","-4.4565","30.2614","232","Tanzania"
"Same","-4.0696","37.7200","17455","Tanzania"
"Wete","-5.0567","39.7281","26450","Tanzania"
"Nyahanga","-2.3829","33.5500","16092","Tanzania"
"Mikumi","-7.3996","36.9800","16780","Tanzania"
"Kasulu","-4.5767","30.1025","33452","Tanzania"
"Mtwara","-10.2736","40.1828","92602","Tanzania"
"Dodoma","-6.1835","35.7460","410956","Tanzania"
"Itigi","-5.6996","34.4800","19711","Tanzania"
"Korogwe","-5.1558","38.4503","44000","Tanzania"
"Kahama","-3.8400","32.6000","36014","Tanzania"
"Biharamulo","-2.6296","31.3100","34038","Tanzania"
"Ngara","-2.4695","30.6500","16890","Tanzania"
"Arusha","-3.3667","36.6833","416442","Tanzania"
"Kilindoni","-7.9163","39.6500","12409","Tanzania"
"Chake Chake","-5.2395","39.7700","49959","Tanzania"
"Mkokotoni","-5.8800","39.2731","2572","Tanzania"
"Mbeya","-8.9000","33.4500","291649","Tanzania"
"Dar es Salaam","-6.8000","39.2833","6698000","Tanzania"
"Musoma","-1.5069","33.8042","103497","Tanzania"
"Zanzibar","-6.1667","39.2000","205870","Tanzania"
"Songea","-10.6833","35.6500","99961","Tanzania"
"Oldeani","-3.3500","35.5500","8000","Tanzania"
"Mpanda","-6.3436","31.0694","73338","Tanzania"
"Kibaha","-6.7586","38.9289","23050","Tanzania"
"Bukoba","-1.3333","31.8167","100504","Tanzania"
"Tunduru","-11.0896","37.3700","600","Tanzania"
"Uvinza","-5.1036","30.3911","80350","Tanzania"
"Mbulu","-3.8496","35.5300","13430","Tanzania"
"Sikonge","-5.6295","32.7700","27113","Tanzania"
"Kakonko","-3.2796","30.9600","24688","Tanzania"
"Kigoma","-4.8833","29.6333","135234","Tanzania"
"Sumbawanga","-7.9667","31.6167","147483","Tanzania"
"Masasi","-10.7296","38.7999","36032","Tanzania"
"Shinyanga","-3.6619","33.4231","107362","Tanzania"
"Lindi","-9.9969","39.7144","41549","Tanzania"
"Kibiti","-7.7296","38.9500","30163","Tanzania"
"Mwanza","-2.5167","32.9000","385810","Tanzania"
"Kilosa","-6.8396","36.9900","91889","Tanzania"
"Mbamba Bay","-11.2833","34.7667","8997","Tanzania"
"Geita","-2.8714","32.2294","1536","Tanzania"
"Karema","-6.8162","30.4333","16385","Tanzania"
"Tukuyu","-9.2583","33.6417","127570","Tanzania"
"Singida","-4.8186","34.7506","62432","Tanzania"
"Moshi","-3.3349","37.3404","144739","Tanzania"
"Kipili","-7.4329","30.6000","1533","Tanzania"
"Tanga","-5.0667","39.1000","243580","Tanzania"
