"city","lat","lng","population","country"
"Ban Bang Tabun","13.2638","99.9439","5431","Thailand"
"Ban Bang Rin","9.9532","98.6344","23144","Thailand"
"Nong Kha Yang","15.3615","99.9379","592","Thailand"
"Ban Na San","8.7997","99.3635","19801","Thailand"
"Sing Buri","14.8911","100.4031","17843","Thailand"
"Ranot","7.7762","100.3179","4753","Thailand"
"Hua Hin","12.5686","99.9578","59369","Thailand"
"Ban Pa Lu Ru","6.0874","101.8728","8314","Thailand"
"Khon San","16.6156","101.9260","4310","Thailand"
"Rattaphum","7.1412","100.2905","17257","Thailand"
"Ban Phraek","14.6460","100.5755","2149","Thailand"
"Pluak Daeng","12.9728","101.2143","5891","Thailand"
"Wang Nuea","19.1455","99.6215","4093","Thailand"
"Thap Than","15.4570","99.8961","8931","Thailand"
"Phak Hai","14.4626","100.3667","9905","Thailand"
"Den Chai","17.9835","100.0519","11542","Thailand"
"Nong Khae","14.3406","100.8673","12866","Thailand"
"Non Thai","15.1958","102.0714","3433","Thailand"
"Samut Prakan","13.6004","100.5964","51309","Thailand"
"Pho Thong","14.6672","100.4089","4339","Thailand"
"Khong Chiam","15.3194","105.4906","2741","Thailand"
"Sawankhalok","17.3099","99.8263","17148","Thailand"
"Ban Hua Saphan","13.1248","99.8716","6148","Thailand"
"Non Daeng","15.4143","102.5505","4576","Thailand"
"Chiang Mai","18.7889","98.9833","132634","Thailand"
"Nakhon Phanom","17.4069","104.7808","26437","Thailand"
"Lang Suan","9.9519","99.0813","11250","Thailand"
"Pak Thong Chai","14.7302","102.0263","14272","Thailand"
"Bo Phloi","14.3253","99.5147","7095","Thailand"
"Nonthaburi","13.8667","100.5167","255671","Thailand"
"Ban Phan Don","17.1290","102.9618","11739","Thailand"
"Na Duang","17.4743","101.9800","6773","Thailand"
"Ban Huai Mai","18.4217","100.1403","8061","Thailand"
"Sanom","15.1988","103.7567","5074","Thailand"
"San Kamphaeng","18.7500","99.1167","17857","Thailand"
"Sangkha","14.6368","103.8531","3920","Thailand"
"Chanthaburi","12.6086","102.1039","23835","Thailand"
"Tha Muang","13.9611","99.6411","10219","Thailand"
"Kaeng Khoi","14.5864","100.9967","12752","Thailand"
"Ban Mueang Ngai","19.4448","98.9662","3855","Thailand"
"Ban Duea","17.9814","102.9912","7426","Thailand"
"Sawang Daen Din","17.4750","103.4569","8486","Thailand"
"Kaset Sombun","16.2779","101.9540","2991","Thailand"
"Ban Nam Phong","16.7321","102.8033","5070","Thailand"
"Chiang Rai","19.9094","99.8275","70610","Thailand"
"Phanom","8.8584","98.8122","5074","Thailand"
"Nakhon Sawan","15.7133","100.1353","86439","Thailand"
"Bang Khla","13.7268","101.2105","9357","Thailand"
"Na Noi","18.3258","100.7122","2639","Thailand"
"Ban Chang","12.7209","101.0669","30983","Thailand"
"Si Prachan","14.6204","100.1444","6185","Thailand"
"Kamphaeng Phet","16.4811","99.5222","29178","Thailand"
"Nuea Khlong","8.0714","98.9994","4378","Thailand"
"Ban Tham","19.0727","100.0698","8399","Thailand"
"Ban Tai","9.7021","100.0320","3179","Thailand"
"Waeng Yai","15.9624","102.5419","5174","Thailand"
"Prakhon Chai","14.6058","103.1208","10404","Thailand"
"Thung Chang","19.3883","100.8781","3467","Thailand"
"Lampang","18.3000","99.5000","55044","Thailand"
"Ban Bang Sawan","8.6172","98.9701","4021","Thailand"
"Phu Pha Man","16.6453","101.8980","3503","Thailand"
"Ban Kamphuan","9.3782","98.4209","6886","Thailand"
"Ban Phai","16.0730","102.7362","28913","Thailand"
"Pa Daet","19.5050","99.9925","6427","Thailand"
"Song Dao","17.3376","103.4691","4962","Thailand"
"Pathio","10.7043","99.3205","1407","Thailand"
"Sai Noi","13.9782","100.3135","2506","Thailand"
"Khu Khan","14.7185","104.1945","4949","Thailand"
"Ban Kruat","14.4158","103.1024","4014","Thailand"
"Ban Bang Pakong","13.5051","100.9567","6416","Thailand"
"Khlung","12.4547","102.2214","11073","Thailand"
"Phitsanulok","16.8158","100.2636","70871","Thailand"
"Tha Ruea","14.5596","100.7226","6979","Thailand"
"Na Wa","17.4897","104.1006","12160","Thailand"
"Satun","6.6147","100.0681","23612","Thailand"
"Mancha Khiri","16.1270","102.5440","3765","Thailand"
"Ban Laem Son","12.7098","101.7099","4903","Thailand"
"Ban Choeng Sae","7.6319","100.3300","2825","Thailand"
"Det Udom","14.9060","105.0784","14264","Thailand"
"Ban Phon Yai","17.1821","104.3316","6563","Thailand"
"Chawang","8.4256","99.5045","2669","Thailand"
"Tha Luang","15.0697","101.1182","9003","Thailand"
"Ban Pong","13.8174","99.8830","17298","Thailand"
"Thap Khlo","16.1600","100.5967","9676","Thailand"
"Ko Si Chang","13.1638","100.8079","4811","Thailand"
"Mae Ai","20.0296","99.2847","10558","Thailand"
"Ban Mae Kaluang","19.0778","99.9270","14215","Thailand"
"Ban Na","12.8270","101.6692","8468","Thailand"
"Non Sa-at","16.9693","102.8964","4717","Thailand"
"Ban Mai","14.9658","102.0233","18255","Thailand"
"Lan Sak","15.4548","99.5634","3473","Thailand"
"Ban Thung Khao Phuang","19.5342","98.9621","10500","Thailand"
"Na Klang","17.3043","102.1964","20609","Thailand"
"Chumphon","10.4939","99.1800","33516","Thailand"
"Phu Khiao","16.3682","102.1344","6450","Thailand"
"Ban Karaket","8.0887","100.1398","6956","Thailand"
"Wat Phleng","13.4522","99.8852","1418","Thailand"
"Khok Samrong","15.0691","100.7234","6456","Thailand"
"Salaya","13.8023","100.3208","11318","Thailand"
"Ban Bang Sai","13.3847","100.9856","12269","Thailand"
"Bang Krathum","16.5813","100.2959","1417","Thailand"
"Phibun Mangsahan","15.2482","105.2296","10842","Thailand"
"Rayong","12.6742","101.2789","61902","Thailand"
"Nong Muang","15.2348","100.6524","5443","Thailand"
"Klaeng","12.7778","101.6483","18797","Thailand"
"Dan Khun Thot","15.2099","101.7667","6432","Thailand"
"Akat Amnuai","17.5898","103.9859","9070","Thailand"
"Thung Sai","16.2955","99.8089","8971","Thailand"
"Khlong Luang","14.0649","100.6447","56128","Thailand"
"Wiset Chaichan","14.5890","100.3482","6220","Thailand"
"Ban Na Pa","13.3956","101.0232","40899","Thailand"
"Aranyaprathet","13.6928","102.5017","16211","Thailand"
"Si Racha","13.1744","100.9306","23400","Thailand"
"Bang Pa-in","14.2200","100.5813","7380","Thailand"
"Samrong","13.6421","100.6039","30382","Thailand"
"Warichaphum","17.2913","103.6469","2890","Thailand"
"Damnoen Saduak","13.5183","99.9547","7943","Thailand"
"Ban Bong Tai","17.4057","103.2992","10214","Thailand"
"Ban Dong Mafai","17.2750","103.9940","6083","Thailand"
"Rong Kham","16.2710","103.7474","6122","Thailand"
"Khiri Ratthanikhom","9.0326","98.9639","1947","Thailand"
"Nam Som","17.7703","102.1894","8742","Thailand"
"Waeng","16.3000","103.9778","2775","Thailand"
"Kumphawapi","17.1151","103.0186","8667","Thailand"
"Chon Buri","13.3611","100.9850","29961","Thailand"
"Suphan Buri","14.4675","100.1169","26164","Thailand"
"Sa Bot","15.2084","100.8340","7477","Thailand"
"Wanon Niwat","17.6358","103.7549","6020","Thailand"
"Ban Khok","16.0806","102.4009","4159","Thailand"
"Nakhon Si Thammarat","8.4363","99.9630","106322","Thailand"
"Kanchanadit","9.1653","99.4706","9492","Thailand"
"Phatthaya","12.9496","100.8930","115840","Thailand"
"Ban Lao","19.9922","100.0348","4080","Thailand"
"Ko Chang","12.0097","102.3671","3045","Thailand"
"Samut Sakhon","13.5486","100.2775","60103","Thailand"
"Krasae Sin","7.5852","100.3198","2843","Thailand"
"Pathum Thani","13.9841","100.5512","13987","Thailand"
"Phichit","16.4431","100.3467","22299","Thailand"
"Ban Chan","17.3595","102.8170","7081","Thailand"
"U Thong","14.3761","99.8922","8237","Thailand"
"Ban Tha Phra","16.3298","102.7998","9170","Thailand"
"Taphan Hin","16.2108","100.4188","15329","Thailand"
"Sao Hai","14.5501","100.8444","3267","Thailand"
"Chiang Kham","19.5223","100.3034","7005","Thailand"
"Sichon","9.0072","99.9018","7027","Thailand"
"Thoen","17.6100","99.2234","15360","Thailand"
"Sam Sung","16.5415","103.0796","5332","Thailand"
"Sam Phran","13.7270","100.2153","17611","Thailand"
"Ban Mae Hia Nai","18.7433","98.9640","18564","Thailand"
"Lom Sak","16.7775","101.2468","12290","Thailand"
"Bueng Kan","18.3669","103.6552","4494","Thailand"
"Samut Songkhram","13.4097","100.0017","28493","Thailand"
"Ban Chiang","17.3999","103.2259","6025","Thailand"
"Pai","19.3589","98.4367","2314","Thailand"
"Nong Bua","15.8647","100.5858","11951","Thailand"
"Pa Sang","18.5177","98.9394","8645","Thailand"
"Khao Yoi","13.2403","99.8254","15416","Thailand"
"Si Satchanalai","17.4155","99.8152","15691","Thailand"
"Ban Banlang","15.2255","101.9112","7957","Thailand"
"Uthai","14.3680","100.6713","6356","Thailand"
"Khanu Woralaksaburi","16.0740","99.8574","8264","Thailand"
"Phrom Buri","14.8490","100.4442","3274","Thailand"
"Fao Rai","18.0175","103.3057","10978","Thailand"
"Kamalasai","16.3383","103.5756","9942","Thailand"
"Ban Bang Khu Wat","13.9576","100.4902","28349","Thailand"
"Loei","17.4853","101.7307","22339","Thailand"
"Phrae","18.1436","100.1417","16668","Thailand"
"Bang Racham","14.8864","100.3235","14577","Thailand"
"Don Tan","16.3187","104.9182","2735","Thailand"
"Ban Chiang Klom","17.8005","101.9448","5208","Thailand"
"Ban Mueang Na Tai","19.5932","98.9618","36156","Thailand"
"Ban Talat Rangsit","13.9870","100.6095","79319","Thailand"
"Ban Wang Thong","16.8229","100.4255","4626","Thailand"
"Nakhon Nayok","14.2031","101.2150","16195","Thailand"
"Chachoengsao","13.6903","101.0703","39570","Thailand"
"Ban Bang Phlap","13.9241","100.4684","9434","Thailand"
"Chon Daen","16.1894","100.8597","3452","Thailand"
"Bang Ban","14.3739","100.4853","11092","Thailand"
"Ko Pha-Ngan","9.7176","99.9949","7035","Thailand"
"Lamae","9.7813","99.1121","3034","Thailand"
"Lat Bua Luang","14.1668","100.3134","2641","Thailand"
"Ban Wiang Phan","20.4034","99.8856","11569","Thailand"
"Takua Pa","8.8658","98.3413","8815","Thailand"
"Songkhla","7.2061","100.5967","63834","Thailand"
"Ban Bang Yai","13.8369","100.3591","10767","Thailand"
"Chok Chai","14.7284","102.1652","12568","Thailand"
"Ban Lueak","13.7065","99.8902","10630","Thailand"
"Non Sung","15.1788","102.2514","9828","Thailand"
"Kantang","7.4067","99.5150","12533","Thailand"
"Ban Pak Phun","8.5391","99.9702","33407","Thailand"
"Phipun","8.5601","99.6068","2812","Thailand"
"Nakhon Pathom","13.8194","100.0581","78780","Thailand"
"Sikhio","14.8764","101.7202","18209","Thailand"
"Su-ngai Kolok","6.0297","101.9668","41590","Thailand"
"Pran Buri","12.3939","99.9159","16851","Thailand"
"Tha Uthen","17.5797","104.5945","4914","Thailand"
"Tan Sum","15.3154","105.1606","3267","Thailand"
"Borabue","16.0370","103.1231","5771","Thailand"
"Mae Chan","20.1397","99.8570","3733","Thailand"
"Phetchabun","16.4169","101.1533","22121","Thailand"
"Roi Et","16.0533","103.6513","35219","Thailand"
"Maha Rat","14.5337","100.5293","3312","Thailand"
"Ban Sai Ma Tai","13.8444","100.4829","30750","Thailand"
"Chiang Klang","19.2939","100.8617","9721","Thailand"
"Nong Chik","6.8436","101.1781","6347","Thailand"
"Nang Rong","14.6363","102.7746","21493","Thailand"
"Mae Hong Son","19.3011","97.9700","6526","Thailand"
"Lan Krabue","16.5922","99.8578","4297","Thailand"
"Wiang Sa","18.5707","100.7512","3110","Thailand"
"Hat Yai","7.0167","100.4667","159130","Thailand"
"Phimai","15.2167","102.5000","8696","Thailand"
"Kosum Phisai","16.2430","103.0627","8984","Thailand"
"Nakhon Thai","17.1011","100.8296","9278","Thailand"
"San Pa Tong","18.6283","98.8958","4585","Thailand"
"Chom Thong","18.4180","98.6758","9777","Thailand"
"Hua Sai","8.0442","100.3059","4457","Thailand"
"Yang Talat","16.3997","103.3678","8666","Thailand"
"Chaiyaphum","15.8056","102.0311","36923","Thailand"
"Kham Thale So","14.9573","101.9503","4186","Thailand"
"Bang Sao Thong","13.5812","100.7957","23630","Thailand"
"Wan Yai","16.7202","104.7505","4884","Thailand"
"Ron Phibun","8.1722","99.8533","8086","Thailand"
"Yasothon","15.7883","104.1506","20414","Thailand"
"Sattahip","12.6636","100.9036","23418","Thailand"
"Ban Bang Krang","13.8442","100.4612","23010","Thailand"
"Ban Bang Toei","14.0656","100.5226","10828","Thailand"
"Kra Buri","10.4020","98.7728","3733","Thailand"
"Ban Cho Ho","15.0311","102.1381","16527","Thailand"
"Pak Phanang","8.3538","100.2023","20425","Thailand"
"Si Nakhon","17.3550","99.9921","3273","Thailand"
"Ban Mangkon","13.6138","100.6104","102291","Thailand"
"Ban Klang Wiang","18.5658","100.7360","1370","Thailand"
"Lamphun","18.5865","99.0121","12595","Thailand"
"Tha Sala","8.6691","99.9240","3044","Thailand"
"Chaiyo","14.6666","100.4702","12710","Thailand"
"Phanom Thuan","14.1315","99.7029","5376","Thailand"
"Prachuap Khiri Khan","11.8067","99.7956","54018","Thailand"
"Nong Bua Lamphu","17.2042","102.4444","21528","Thailand"
"Ban Muang Ngam","7.3536","100.4898","12084","Thailand"
"Ban Talat Ko Ta Ba Ru","6.4585","101.3543","5777","Thailand"
"Khanom","9.2083","99.8644","4235","Thailand"
"Ban Ko","13.6486","100.0063","10614","Thailand"
"Ban Ratchakrut","9.7571","98.5915","9835","Thailand"
"Phanom Sarakham","13.7437","101.3523","6527","Thailand"
"Bang Phae","13.6983","99.9068","16130","Thailand"
"Mukdahan","16.5431","104.7228","33102","Thailand"
"Lom Kao","16.8847","101.2336","6065","Thailand"
"Ban Tha Pha","13.8437","99.8681","20211","Thailand"
"Ban Nong Chok","12.9482","99.9680","2768","Thailand"
"Trang","7.5561","99.6114","60591","Thailand"
"Ban Phaeo","13.5868","100.1037","3020","Thailand"
"Na Chueak","15.7892","103.0299","3940","Thailand"
"Kae Dam","16.0233","103.3862","5402","Thailand"
"Bueng Khong Long","17.9684","104.0484","9777","Thailand"
"Phrai Bueng","14.7490","104.3574","10864","Thailand"
"Nong Khai","17.8842","102.7467","48274","Thailand"
"Amnat Charoen","15.8758","104.6223","25858","Thailand"
"Tha Sae","10.6716","99.1812","2178","Thailand"
"Sai Yok","14.2197","99.0757","3808","Thailand"
"Chumsaeng","15.8980","100.3110","8426","Thailand"
"Pua","19.1799","100.9089","10831","Thailand"
"Chian Yai","8.1707","100.1478","1897","Thailand"
"Mae Rim","18.9163","98.9605","9590","Thailand"
"Phanat Nikhom","13.4458","101.1844","11032","Thailand"
"Tha Chang","9.2674","99.1922","11248","Thailand"
"Mae Chai","19.3453","99.8138","5086","Thailand"
"Wiang Sa","8.6358","99.3667","9904","Thailand"
"Ban Bo Luang","18.1476","98.3489","12143","Thailand"
"Ban Rangsit","14.0167","100.7500","58838","Thailand"
"Khon Kaen","16.4297","102.8297","115928","Thailand"
"Kapoe","9.5829","98.5941","1605","Thailand"
"Cha-uat","7.9653","99.9989","3961","Thailand"
"Bang Sai","14.3347","100.3037","5303","Thailand"
"Ban Bang Mae Nang","13.8815","100.3759","45974","Thailand"
"Muang Sam Sip","15.5120","104.7251","3332","Thailand"
"Phon Phisai","18.0228","103.0826","2802","Thailand"
"Ban Bang Khanak","13.8715","101.1409","2155","Thailand"
"Ban Nang Sata","6.2660","101.2662","2828","Thailand"
"Mae Sai","20.4266","99.8841","20699","Thailand"
"Pueai Noi","15.8707","102.9064","5946","Thailand"
"Ban Tat","17.2791","102.8022","12959","Thailand"
"Khlong Yai","11.7763","102.8858","4913","Thailand"
"Sam Ko","14.6013","100.2602","10696","Thailand"
"Ban Lat","13.0496","99.9188","3698","Thailand"
"Nong Na Kham","16.8020","102.3404","5083","Thailand"
"Ban Bueng","13.3140","101.1114","19346","Thailand"
"Huai Yot","7.7892","99.6329","12902","Thailand"
"Si Chiang Mai","17.9564","102.5867","7142","Thailand"
"Ban Dan","17.0352","99.8871","4525","Thailand"
"Suwannaphum","15.6078","103.8000","9183","Thailand"
"Wang Saphung","17.2995","101.7624","11992","Thailand"
"Bang Len","14.0219","100.1719","8429","Thailand"
"Ban Piang Luang","19.6493","98.6352","22215","Thailand"
"Ban Lam Narai","15.2054","101.1356","16470","Thailand"
"Nong Don","14.6808","100.7082","2414","Thailand"
"Ban Bang Lamung","13.0470","100.9289","11324","Thailand"
"Non Sila","15.9617","102.6911","5682","Thailand"
"Si Maha Phot","13.9614","101.5118","3617","Thailand"
"Kranuan","16.7081","103.0811","10726","Thailand"
"Khon Buri","14.5686","102.1564","7781","Thailand"
"Bang Rakam","16.7534","100.1159","4337","Thailand"
"Renu Nakhon","17.0530","104.6785","4939","Thailand"
"Yala","6.5397","101.2811","61250","Thailand"
"Song Phi Nong","14.2306","100.0389","12926","Thailand"
"Pattani","6.8664","101.2508","44234","Thailand"
"Ban Ngao","19.6805","100.2513","2508","Thailand"
"Pak Kret","13.9125","100.4978","184501","Thailand"
"Warin Chamrap","15.2008","104.8612","28154","Thailand"
"Nakhon Chai Si","13.8005","100.1869","8226","Thailand"
