"city","lat","lng","population", "country"
"Port of Spain","10.6667","-61.5167","37074","Trinidad And Tobago"
"Chaguanas","10.5144","-61.4075","83489","Trinidad And Tobago"
"Couva","10.4167","-61.4500","48858","Trinidad And Tobago"
"Saint Joseph","10.6500","-61.4167","14376","Trinidad And Tobago"
"Siparia","10.1333","-61.5000","10254","Trinidad And Tobago"
"San Fernando","10.2833","-61.4667","55419","Trinidad And Tobago"
"Laventille","10.6500","-61.4833","21454","Trinidad And Tobago"
"San Juan","10.6500","-61.4500","13797","Trinidad And Tobago"
"Tunapuna","10.6333","-61.3833","17650","Trinidad And Tobago"
"Cheeyou","10.5494","-61.1328","2207","Trinidad And Tobago"
