"city","lat","lng","population", "country"
"Agareb","34.7414","10.5280","11513","Tunisia"
"Siliana","36.0819","9.3747","26960","Tunisia"
"Harqalah","36.0333","10.5000","9343","Tunisia"
"Aousdja","37.1422","10.1022","3980","Tunisia"
"Manouba","36.8000","10.1000","58792","Tunisia"
"Rhennouch","33.9397","10.0650","28051","Tunisia"
"Kairouan","35.6833","10.1000","186653","Tunisia"
"Thelepte","34.9758","8.5939","6046","Tunisia"
"Kasserine","35.1667","8.8333","108794","Tunisia"
"Kelibia","36.8475","11.0939","58491","Tunisia"
"Qirmisah","32.9806","10.2625","1230","Tunisia"
"Le Kram","36.8333","10.3167","74132","Tunisia"
"Ariana","36.8625","10.1956","114486","Tunisia"
"Douirat","32.8667","10.2881","881","Tunisia"
"Zarat","33.6679","10.3505","5205","Tunisia"
"Zarzis","33.5000","11.1167","80000","Tunisia"
"Akouda","35.8712","10.5712","34494","Tunisia"
"Mateur","37.0400","9.6650","32546","Tunisia"
"El Alia","37.1667","10.0333","27075","Tunisia"
"Tataouine","32.9333","10.4500","95775","Tunisia"
"Tozeur","33.9197","8.1336","37365","Tunisia"
"Haidra","35.5672","8.4597","3100","Tunisia"
"Mahdia","35.5047","11.0622","79545","Tunisia"
"Sbeitla","35.2297","9.1294","20253","Tunisia"
"Ben Gardane","33.1389","11.2167","79912","Tunisia"
"Remada","32.3167","10.3994","4606","Tunisia"
"Fouchana","36.6987","10.1693","74868","Tunisia"
"Kesra","35.8167","9.3667","2602","Tunisia"
"Maktar","35.8500","9.2000","12942","Tunisia"
"Zaghouan","36.4028","10.1433","20387","Tunisia"
"Rades","36.7667","10.2833","59998","Tunisia"
"Nabeul","36.4514","10.7361","73128","Tunisia"
"Degache","33.9858","8.2203","7893","Tunisia"
"Dar Chabanne","36.4700","10.7500","35859","Tunisia"
"Hammam Sousse","35.8589","10.5939","42691","Tunisia"
"Sakiet ez Zit","34.8000","10.7700","87512","Tunisia"
"Dehiba","32.0110","10.7028","4295","Tunisia"
"Bizerte","37.2744","9.8739","142966","Tunisia"
"Le Bardo","36.8092","10.1406","73953","Tunisia"
"El Jem","35.3000","10.7167","48611","Tunisia"
"Jemna","33.5700","9.0100","6128","Tunisia"
"Sousse","35.8333","10.6333","221530","Tunisia"
"Beja","36.7256","9.1817","109299","Tunisia"
"Ez Zahra","36.7439","10.3083","34962","Tunisia"
"Sbiba","35.5433","9.0736","42091","Tunisia"
"Ben Arous","36.7531","10.2189","88322","Tunisia"
"Tamaghzah","34.3800","7.9500","2334","Tunisia"
"Nefta","33.8722","7.8816","21654","Tunisia"
"Medenine","33.3547","10.5053","109409","Tunisia"
"Douz","33.4572","9.0258","47182","Tunisia"
"Wadhraf","33.9851","9.9699","12557","Tunisia"
"Bou Salem","36.6111","8.9698","35192","Tunisia"
"Menzel Temime","36.7833","10.9833","65645","Tunisia"
"Tourki","36.5748","10.5158","3661","Tunisia"
"Seiada","35.6700","10.9000","12708","Tunisia"
"Gafsa","34.4167","8.7833","111170","Tunisia"
"El Metline","37.2454","10.0498","7370","Tunisia"
"Thala","35.5667","8.6667","13968","Tunisia"
"Ouardenine","35.7200","10.6700","21814","Tunisia"
"Houmt Souk","33.8667","10.8500","75904","Tunisia"
"Korba","36.5667","10.8667","68966","Tunisia"
"Zaouiet Sousse","35.7887","10.6274","25000","Tunisia"
"Msaken","35.7333","10.5833","110000","Tunisia"
"Ghomrassen","33.0592","10.3400","15957","Tunisia"
"Hammamet","36.4167","10.6000","97579","Tunisia"
"Chebba","35.2372","11.1150","24515","Tunisia"
"Rass el Djebel","37.2150","10.1200","58241","Tunisia"
"Khunays","35.7122","10.8167","10000","Tunisia"
"Metouia","33.9600","10.0000","170000","Tunisia"
"Djemmal","35.6400","10.7600","70587","Tunisia"
"Tebourba","36.8295","9.8411","50458","Tunisia"
"Skhira","34.3006","10.0708","34511","Tunisia"
"Ghardimaou","36.4503","8.4397","64170","Tunisia"
"Feriana","34.9431","8.5625","24198","Tunisia"
"La Marsa","36.8764","10.3253","92987","Tunisia"
"El Hamma","33.8864","9.7951","73512","Tunisia"
"Sfax","34.7400","10.7600","272801","Tunisia"
"Matmata","33.5426","9.9668","1800","Tunisia"
"Tabarka","36.9550","8.7550","17425","Tunisia"
"Gabes","33.8814","10.0983","116323","Tunisia"
"Tunis","36.8008","10.1800","1056247","Tunisia"
"Megrine","36.7687","10.2332","26720","Tunisia"
"Kebili","33.7050","8.9650","163257","Tunisia"
"Sidi Bouzid","35.0381","9.4858","122676","Tunisia"
"Monastir","35.7780","10.8262","104535","Tunisia"
"Sidi Bou Said","36.8698","10.3410","5873","Tunisia"
"Bekalta","35.6200","11.0000","17850","Tunisia"
"El Kef","36.1667","8.7000","73706","Tunisia"
"Dahmani","35.9424","8.8284","27907","Tunisia"
"Takrouna","36.1534","10.3409","628","Tunisia"
"Jendouba","36.5011","8.7803","113116","Tunisia"
"Aine Draham","36.7833","8.7000","35400","Tunisia"
"Menzel Bourguiba","37.1500","9.7833","61919","Tunisia"
"Sejenane","37.0564","9.2382","40166","Tunisia"
"Rhar el Melah","37.1667","10.1833","19477","Tunisia"
"Hammam-Lif","36.7308","10.3275","42518","Tunisia"
"El Maknassi","34.6042","9.6056","23789","Tunisia"
