"city","lat","lng","population","country"
"Koneurgench","42.3167","59.1586","36754","Turkmenistan"
"Kaka","37.3503","59.6000","38381","Turkmenistan"
"Gazojak","41.1833","61.4000","24251","Turkmenistan"
"Abadan","38.0517","58.2100","40813","Turkmenistan"
"Atamyrat","37.8167","65.2000","38350","Turkmenistan"
"Ashgabat","37.9500","58.3833","1031992","Turkmenistan"
"Darganata","40.4833","62.1667","7212","Turkmenistan"
"Serdar","38.9764","56.2758","89582","Turkmenistan"
"Seydi","39.4817","62.9136","20491","Turkmenistan"
"Dasoguz","41.8167","59.9831","227184","Turkmenistan"
"Garabogaz","41.5397","52.5700","6895","Turkmenistan"
"Halac","38.0686","64.8811","5101","Turkmenistan"
"Sakarchage","37.6614","61.6550","4360","Turkmenistan"
"Turkmenbasy","40.0230","52.9697","68292","Turkmenistan"
"Celeken","39.4362","53.1226","1206","Turkmenistan"
"Tagta","41.6500","59.9000","11501","Turkmenistan"
"Serhetabat","35.2833","62.3500","14940","Turkmenistan"
"Mary","37.6000","61.8333","208682","Turkmenistan"
"Turkmenabat","39.1000","63.5667","408906","Turkmenistan"
"Magtymguly","38.4333","56.2833","8412","Turkmenistan"
"Sarahs","36.5167","61.2167","9585","Turkmenistan"
"Balkanabat","39.5119","54.3650","89785","Turkmenistan"
"Tejen","37.3786","60.4960","67294","Turkmenistan"
"Hazar","39.4000","53.1167","28095","Turkmenistan"
