"city","lat","lng","population","country"
"Iganga","0.6092","33.4686","45024","Uganda"
"Lira","2.2489","32.9000","135445","Uganda"
"Kampala","0.3136","32.5811","1659600","Uganda"
"Gulu","2.7667","32.3056","146858","Uganda"
"Mityana","0.4004","32.0500","41131","Uganda"
"Kamuli","0.9472","33.1197","12764","Uganda"
"Kayunga","0.7025","32.8886","21704","Uganda"
"Pakwach","2.4500","31.5000","17541","Uganda"
"Moroto","2.5403","34.6400","371","Uganda"
"Masindi Port","1.7004","32.0699","8319","Uganda"
"Busia","0.4669","34.0900","47100","Uganda"
"Kabale","-1.2496","29.9800","44600","Uganda"
"Pallisa","1.1450","33.7094","30745","Uganda"
"Kumi","1.4608","33.9361","13000","Uganda"
"Moyo","3.6504","31.7200","22434","Uganda"
"Kalangala","-0.3089","32.2250","5200","Uganda"
"Entebbe","0.0500","32.4600","69958","Uganda"
"Mbarara","-0.5996","30.6500","83700","Uganda"
"Mbale","1.0806","34.1750","402368","Uganda"
"Kitgum","3.3004","32.8700","56891","Uganda"
"Tororo","0.6928","34.1808","150000","Uganda"
"Mubende","0.5904","31.3700","18936","Uganda"
"Adjumani","3.3614","31.8097","34700","Uganda"
"Kasese","0.2300","29.9883","67269","Uganda"
"Masaka","-0.3296","31.7300","65373","Uganda"
"Nakasongola","1.3089","32.4564","6921","Uganda"
"Kaberamaido","1.7389","33.1594","3400","Uganda"
"Jinja","0.4431","33.2128","72931","Uganda"
"Arua","3.0300","30.9100","250000","Uganda"
"Kiboga","0.9161","31.7742","14512","Uganda"
"Nebbi","2.4758","31.1025","30354","Uganda"
"Bombo","0.5833","32.5333","75000","Uganda"
"Kibale","0.8000","31.0667","5200","Uganda"
"Kisoro","-1.3539","29.6983","12900","Uganda"
"Masindi","1.6744","31.7150","31486","Uganda"
"Soroti","1.6833","33.6167","1038","Uganda"
"Ntungamo","-0.8794","30.2642","16400","Uganda"
"Sironko","1.2294","34.2481","14100","Uganda"
"Katwe","-0.1296","29.9200","1957","Uganda"
"Kaabong","3.5204","34.1200","1137","Uganda"
"Mpigi","0.2250","32.3136","11082","Uganda"
"Katakwi","1.8911","33.9661","8400","Uganda"
"Fort Portal","0.6710","30.2750","42670","Uganda"
