"city","lat","lng","population","country"
"Zhborivtsi","48.5025","22.7497","335","Ukraine"
"Dolynivka","48.0846","34.9687","81","Ukraine"
"Veremiyivka","48.5820","36.6956","188","Ukraine"
"Nadezhdivka","48.0102","33.5735","853","Ukraine"
"Nadezhdivka","48.7703","35.6239","354","Ukraine"
"Nadezhdivka","48.7378","36.9697","75","Ukraine"
"Verby","46.9119","34.6264","730","Ukraine"
"Yavdotivka","47.6895","33.0343","332","Ukraine"
"Verbivka","49.4883","36.8297","3515","Ukraine"
"Izluchyste","47.9309","33.7704","206","Ukraine"
"Babychi","49.8366","33.9961","12","Ukraine"
"Babychi","49.6687","34.1719","6","Ukraine"
"Pryhid'","48.2608","23.7417","663","Ukraine"
"Rokytna Sloboda","50.9306","29.9628","71","Ukraine"
"Richyshche","50.6286","25.8042","92","Ukraine"
"Machukhy","49.5296","34.4297","3337","Ukraine"
"Dubova","49.2039","27.9172","643","Ukraine"
"Chervonyy Ranok","47.9126","33.0985","114","Ukraine"
"Novopillia","47.9539","33.5278","4037","Ukraine"
"Sukhyy","48.5822","23.4256","395","Ukraine"
"Sukhyy","48.9492","22.7900","187","Ukraine"
"Solontsi","49.1207","33.6565","147","Ukraine"
"Dubrivka","49.5144","23.1142","725","Ukraine"
"Mostyshche","49.6800","24.3050","57","Ukraine"
"Samushyn","48.6011","26.0539","382","Ukraine"
"Lozova","48.6728","28.0108","1369","Ukraine"
"Lozova","49.5156","27.8375","245","Ukraine"
"Krasnoilsk","48.0167","25.5833","10351","Ukraine"
"Miziakiv","49.3944","28.3811","815","Ukraine"
"Rokytne","49.9442","23.9081","266","Ukraine"
"Andriyivka","48.8411","28.0467","332","Ukraine"
"Stepkivka","48.6617","30.3064","435","Ukraine"
"Vidrada","47.8689","29.5503","43","Ukraine"
"Malyye Nagortsy","49.9994","24.3883","374","Ukraine"
"Mykhailivka","48.3853","26.6072","568","Ukraine"
"Mykhailivka","49.9242","32.1781","1096","Ukraine"
"Shakhtarsk","48.0333","38.4833","49482","Ukraine"
"Berehy","48.5575","23.7122","211","Ukraine"
"Dibrivske","50.7008","27.4689","34","Ukraine"
"Ust-Chorna","48.3192","23.9389","1560","Ukraine"
"Uzhhorod","48.6239","22.2950","114897","Ukraine"
"Peredivane","48.7078","25.6444","286","Ukraine"
"Berestechko","50.3500","25.1167","1711","Ukraine"
"Novopavlivka","48.8906","37.1526","599","Ukraine"
"Chabanove","48.1814","33.4738","266","Ukraine"
"Buymerivka","50.2811","34.8105","42","Ukraine"
"Dolynka","47.4727","35.5327","387","Ukraine"
"Bobrynets","48.0578","32.1581","10898","Ukraine"
"Zahrunivka","50.1027","34.1385","418","Ukraine"
"Pasytsely","47.8364","29.6500","1369","Ukraine"
"Polianivka","46.7432","35.0835","604","Ukraine"
"Adamivka","49.4356","29.3139","638","Ukraine"
"Adamivka","48.8639","29.5144","300","Ukraine"
"Adamivka","51.6222","24.6703","282","Ukraine"
"Lozivka","49.7046","34.3090","256","Ukraine"
"Bilopillya","51.1532","34.3025","15215","Ukraine"
"Lypove","48.7160","33.8250","188","Ukraine"
"Forostovychi","52.0189","33.1133","10","Ukraine"
"Tomashpil","48.5471","28.5157","5527","Ukraine"
"Novodarivka","47.9664","39.3789","160","Ukraine"
"Kozyary","49.6386","26.0833","206","Ukraine"
"Stebni","48.0992","24.9839","728","Ukraine"
"Podverbtse","48.8017","25.2308","755","Ukraine"
"Biloberizka","48.1656","25.0469","1234","Ukraine"
"Holovetsko","49.3083","22.8906","1170","Ukraine"
"Preobrazhenivka","48.6525","36.3511","97","Ukraine"
"Maiaky","48.6047","28.7264","863","Ukraine"
"Ostapkivtsi","49.3125","26.5267","544","Ukraine"
"Hozhuly","49.6056","34.4479","2947","Ukraine"
"Volya-Kovel's'ka","51.1947","24.7028","792","Ukraine"
"Novolymarivka","49.2767","39.5994","819","Ukraine"
"Chaplia","49.4700","27.5847","276","Ukraine"
"Zelenopil","47.5510","36.8497","355","Ukraine"
"Pelekhivshchyna","49.3859","33.0338","79","Ukraine"
"Yasna Poliana","47.0624","34.8324","210","Ukraine"
"Yasna Poliana","47.3795","35.1205","88","Ukraine"
"Dmytrivka","46.5711","34.2892","86","Ukraine"
"Rachivka","46.3903","33.4044","78","Ukraine"
"Yahidne","48.4562","35.3384","312","Ukraine"
"Melnyky","51.4153","24.4456","57","Ukraine"
"Malinuvka","49.7064","23.8314","182","Ukraine"
"Horodske","50.3775","29.1689","406","Ukraine"
"Berestivka","49.2283","28.9606","445","Ukraine"
"Polohy","50.3355","35.0013","707","Ukraine"
"Yavornytske","48.0376","34.8660","106","Ukraine"
"Sniatyn","48.4500","25.5667","9942","Ukraine"
"Zavydo-Borzenka","48.5114","36.9178","208","Ukraine"
"Mykolaivka","47.5322","30.2489","1423","Ukraine"
"Mykolaivka","50.9422","34.3820","4210","Ukraine"
"Skazintsy","48.5125","27.9014","484","Ukraine"
"Shatsk","51.4878","23.9297","5320","Ukraine"
"Ostriv","50.9867","25.5464","228","Ukraine"
"Evhenivka","47.6711","37.0864","590","Ukraine"
"Luka","50.4602","33.2907","1480","Ukraine"
"Voloshyne","49.0983","33.6591","22","Ukraine"
"Heraskivka","49.6064","39.5417","356","Ukraine"
"Zakomaria","49.9417","24.7622","275","Ukraine"
"Zelena","48.3628","26.7250","1980","Ukraine"
"Saky","45.1336","33.5772","24885","Ukraine"
"Boromlya","50.6204","34.9723","4490","Ukraine"
"Raiduzhne","48.6000","33.9073","734","Ukraine"
"Ukrainsk","48.1000","37.3667","11824","Ukraine"
"Harasymivka","48.8860","35.4113","262","Ukraine"
"Harasymivka","47.8804","36.1718","80","Ukraine"
"Ruda","51.2292","24.2508","586","Ukraine"
"Ruda","50.9939","24.3150","62","Ukraine"
"Tokariv","50.5283","27.3278","805","Ukraine"
"Kuzmenkove","50.6733","33.6592","4","Ukraine"
"Chernyshi","49.8581","31.3144","209","Ukraine"
"Hryhorivka","47.8689","38.2603","156","Ukraine"
"Podilsk","47.7419","29.5350","40155","Ukraine"
"Hryhorivka","48.0130","34.7593","328","Ukraine"
"Morozivske","48.6427","35.9198","396","Ukraine"
"Morozivske","48.3732","35.4251","62","Ukraine"
"Yasne","51.3319","24.1703","145","Ukraine"
"Pulyny","50.4664","28.2778","5411","Ukraine"
"Krasne","48.9439","23.1639","485","Ukraine"
"Darivka","46.1967","33.1878","200","Ukraine"
"Kazankivka","47.6971","33.0786","6","Ukraine"
"Lazurne","46.0808","32.5200","3140","Ukraine"
"Chervonka","51.3717","28.1214","55","Ukraine"
"Berehove","50.7253","27.5353","122","Ukraine"
"Borzhava","48.1564","22.7217","1502","Ukraine"
"Novodvirske","47.8394","38.1400","26","Ukraine"
"Kaplunivka","49.7227","34.2880","11","Ukraine"
"Borove","50.2581","24.2053","464","Ukraine"
"Maiak","48.2513","34.6693","384","Ukraine"
"Maiak","48.0333","33.7064","212","Ukraine"
"Hrushivtsi","48.5478","26.8214","1327","Ukraine"
"Durbaily","47.1631","29.9197","15","Ukraine"
"Valky","49.8386","35.6217","9235","Ukraine"
"Ul'yanovka","49.2683","29.0900","107","Ukraine"
"Novyy Zahoriv","50.6661","24.6058","529","Ukraine"
"Kozlianychi","51.7253","32.5681","369","Ukraine"
"Sanatorne","44.3983","33.8131","229","Ukraine"
"Arsenivka","49.9905","34.2905","180","Ukraine"
"Prosyana","48.1174","36.3743","4907","Ukraine"
"Zhuzhelyany","50.3997","24.0472","676","Ukraine"
"Nekhvoroshch","49.9633","28.9561","1297","Ukraine"
"Derno","50.7728","25.7458","1529","Ukraine"
"Svesa","51.9481","33.9367","6644","Ukraine"
"Bilosaraiska Kosa","46.9028","37.3436","901","Ukraine"
"Sukhyy Yar","49.4883","37.3111","153","Ukraine"
"Kosmyryn","48.8858","25.2457","948","Ukraine"
"Kharkiv","50.0000","36.2292","1446107","Ukraine"
"Zlatoustivka","47.8818","33.7379","916","Ukraine"
"Andriivka","47.1026","36.5871","2755","Ukraine"
"Vyshnopil","48.7528","30.5972","864","Ukraine"
"Ploskyy Potik","48.6453","22.8936","269","Ukraine"
"Boratyn","50.2878","25.3356","464","Ukraine"
"Borivs'ke","48.7236","28.1344","152","Ukraine"
"Bochanytsya","50.5286","26.6953","1038","Ukraine"
"Plavske","46.5050","34.8681","835","Ukraine"
"Vyshneve","44.7324","33.6064","747","Ukraine"
"Shamraivka","49.7719","29.8328","1877","Ukraine"
"Tsybulkivka","48.8532","34.4156","381","Ukraine"
"Aneta","50.5728","27.5181","215","Ukraine"
"Sheludkivka","49.6778","36.5433","2746","Ukraine"
"Cherepashyntsi","49.5325","28.5928","1571","Ukraine"
"Donbrova","48.7636","24.5036","240","Ukraine"
"Makukhivka","49.5939","34.6315","813","Ukraine"
"Vyshkovo","48.0581","23.4164","8288","Ukraine"
"Zarichne","47.8538","36.1848","14","Ukraine"
"Lipnik","50.1189","24.2361","90","Ukraine"
"Zaytsi","50.2982","34.3206","9","Ukraine"
"Sanzharivka","48.4367","38.4244","8","Ukraine"
"Kalynivka","50.2256","30.2319","5198","Ukraine"
"Kalynivka","50.5592","30.8211","3806","Ukraine"
"Petro-Hannivka","50.0800","34.4411","3","Ukraine"
"Bilashiv","50.3528","26.4031","454","Ukraine"
"Novosamarka","47.5081","29.5244","1005","Ukraine"
"Zhukiv","49.7133","24.8000","507","Ukraine"
"Zoryane","48.4985","36.8260","1021","Ukraine"
"Vyla-Yaruzki","48.4450","28.0400","514","Ukraine"
"Klitenka","49.7758","28.3514","352","Ukraine"
"Stepanky","48.7736","27.8569","462","Ukraine"
"Stepanky","49.4864","29.0769","341","Ukraine"
"Myroliubivka","48.2586","28.8386","1402","Ukraine"
"Olyka","50.7167","25.8167","3079","Ukraine"
"Vasylkove","47.8090","35.8574","105","Ukraine"
