"city","lat","lng","population","country"
"Durazno","-33.3833","-56.5167","34372","Uruguay"
"La Loma","-33.4250","-58.3372","111","Uruguay"
"Chuy","-33.6833","-53.4500","9.675","Uruguay"
"Los Cerrillos","-34.6072","-56.3597","2508","Uruguay"
"Rocha","-34.4833","-54.3500","25422","Uruguay"
"Tala","-34.3436","-55.7617","5089","Uruguay"
"Parque del Plata","-34.7667","-55.7167","7896","Uruguay"
"Polanco Norte","-33.8744","-55.1217","87","Uruguay"
"Tranqueras","-31.1833","-55.7667","7474","Uruguay"
"Baltasar Brum","-30.7300","-57.3200","2517","Uruguay"
"Bella Union","-30.2600","-57.5992","19100","Uruguay"
"Curtina","-32.1500","-56.1167","1037","Uruguay"
"Nueva Palmira","-33.8700","-58.4080","9857","Uruguay"
"Sauce","-34.6469","-56.0628","6132","Uruguay"
"Mal Abrigo","-34.1500","-56.9500","344","Uruguay"
"Aigua","-34.2000","-54.7500","2692","Uruguay"
"Fray Bentos","-33.1333","-58.3000","24406","Uruguay"
"San Javier","-32.6833","-58.1333","1781","Uruguay"
"Paysandu","-32.3200","-58.0756","76429","Uruguay"
"Punta del Este","-34.9786","-54.9331","9277","Uruguay"
"Colonia del Sacramento","-34.4714","-57.8442","26231","Uruguay"
"Piedra del Toro","-34.7022","-55.8853","332","Uruguay"
"Jose Batlle y Ordonez","-33.4700","-55.1200","2438","Uruguay"
"Empalme Olmos","-34.6986","-55.9289","662","Uruguay"
"Santa Clara de Olimar","-32.9167","-54.9500","2341","Uruguay"
"San Bautista","-34.4400","-55.9597","1973","Uruguay"
"Jose Enrique Rodo","-33.6983","-57.5308","2113","Uruguay"
"Migues","-34.4881","-55.6306","2109","Uruguay"
"Mercedes","-33.2500","-58.0319","41974","Uruguay"
"Tacuarembo","-31.7100","-55.9800","54277","Uruguay"
"Nuevo Berlin","-32.9792","-58.0528","2450","Uruguay"
"Florida","-34.1000","-56.2167","33640","Uruguay"
"Treinta y Tres","-33.2308","-54.3822","25477","Uruguay"
"Santa Lucia","-34.4525","-56.3964","16742","Uruguay"
"La Paloma","-34.6700","-54.1700","3230","Uruguay"
"Cardona","-33.8736","-57.3681","4600","Uruguay"
"Barros Blancos","-34.7542","-56.0042","31650","Uruguay"
"Vergara","-32.9377","-53.9378","3998","Uruguay"
"Pan de Azucar","-34.8000","-55.2167","6597","Uruguay"
"Toledo","-32.5292","-54.5292","132","Uruguay"
"Guichon","-32.3500","-57.2000","5025","Uruguay"
"Carmelo","-33.9999","-58.2847","18041","Uruguay"
"Rosario","-34.3139","-57.3525","9311","Uruguay"
"Aguas Buenas","-32.8850","-55.8567","86","Uruguay"
"Dolores","-33.5333","-58.2167","15753","Uruguay"
"Artigas","-30.4667","-56.4667","40658","Uruguay"
"Libertad","-34.6333","-56.6192","11458","Uruguay"
"San Gregorio de Polanco","-32.6135","-55.8291","3415","Uruguay"
"Capilla del Sauce","-33.4670","-55.6329","835","Uruguay"
"Atlantida","-34.7701","-55.7613","5562","Uruguay"
"Salinas","-34.7751","-55.8402","8626","Uruguay"
"Castillos","-34.1989","-53.8575","7541","Uruguay"
"Ciudad de la Costa","-34.8167","-55.9500","112449","Uruguay"
"Villa Soriano","-33.3994","-58.3228","1124","Uruguay"
"San Jacinto","-34.5444","-55.8719","7000","Uruguay"
"Nueva Helvecia","-34.2889","-57.2333","10630","Uruguay"
"Maldonado","-34.9100","-54.9600","55478","Uruguay"
"Parada Cabrera","-34.6233","-56.2561","409","Uruguay"
"San Ramon","-34.2914","-55.9542","7133","Uruguay"
"Paso de los Toros","-32.8181","-56.5064","12985","Uruguay"
"Canelones","-34.5228","-56.2778","19865","Uruguay"
"Piriapolis","-34.8661","-55.2747","8830","Uruguay"
"Melo","-32.3595","-54.1800","55494","Uruguay"
"Minas","-34.3667","-55.2333","38446","Uruguay"
"San Antonio","-34.4508","-56.0814","1489","Uruguay"
"Garzon","-34.5934","-54.5451","198","Uruguay"
"Jose Pedro Varela","-33.4500","-54.5333","5118","Uruguay"
"San Jose","-34.3333","-56.7167","36747","Uruguay"
"Tupambae","-32.8333","-54.7667","1122","Uruguay"
"Trinidad","-33.5333","-56.8833","21429","Uruguay"
"Sarandi Grande","-33.7250","-56.3303","6130","Uruguay"
"Sarandi del Yi","-33.3442","-55.6313","7176","Uruguay"
"Rodriguez","-34.3803","-56.5397","2604","Uruguay"
"Rivera","-30.9025","-55.5506","78900","Uruguay"
"Clara","-32.2333","-55.7333","160","Uruguay"
"Lascano","-33.6731","-54.2078","7645","Uruguay"
"Bernabe Rivera","-30.2989","-56.9700","380","Uruguay"
"Rio Branco","-32.5969","-53.3850","14604","Uruguay"
"Pando","-34.7167","-55.9583","25949","Uruguay"
"Las Piedras","-34.7167","-56.2167","71268","Uruguay"
"Cerro Chato","-33.1000","-55.1333","3227","Uruguay"
"Montevideo","-34.8667","-56.1667","1319108","Uruguay"
"Salto","-31.3883","-57.9606","124878","Uruguay"
