"city","lat","lng","population","country"
"Urganch","41.5345","60.6249","135100","Uzbekistan"
"Xonobod","40.8127","72.9731","35181","Uzbekistan"
"Chortoq","41.0689","71.8153","35615","Uzbekistan"
"Turtkul","41.5500","61.0000","50800","Uzbekistan"
"Qarshi","38.8667","65.8000","254600","Uzbekistan"
"Iskandar","41.5507","69.6807","195633","Uzbekistan"
"Xo`jayli Shahri","42.4047","59.4517","60401","Uzbekistan"
"Denov","38.2772","67.8872","217274","Uzbekistan"
"Muynoq","43.7667","59.0333","18196","Uzbekistan"
"Qiziltepa","40.0319","64.8492","9884","Uzbekistan"
"Samarkand","39.6542","66.9597","504423","Uzbekistan"
"Namangan","40.9953","71.6725","408500","Uzbekistan"
"Tashkent","41.3000","69.2667","2424100","Uzbekistan"
"Olmaliq","40.8500","69.6000","112078","Uzbekistan"
"Yaypan","40.3758","70.8156","15984","Uzbekistan"
"Kattagan","40.2000","64.9167","86745","Uzbekistan"
"Beruniy","41.6833","60.7500","50700","Uzbekistan"
"Yangirabot","40.0333","65.9667","11364","Uzbekistan"
"Qoqon","40.5404","70.9400","350000","Uzbekistan"
"Xiva","41.3783","60.3639","55568","Uzbekistan"
"Manghit","42.1236","60.0583","22949","Uzbekistan"
"Chirchiq","41.4667","69.5833","159400","Uzbekistan"
"Marg`ilon","40.4667","71.7167","215400","Uzbekistan"
"Nukus","42.4647","59.6022","170362","Uzbekistan"
"Sharg`un","38.4600","67.9669","10716","Uzbekistan"
"G'ijduvon Shahri","40.1000","64.6667","30486","Uzbekistan"
"Qo`ng`irot Shahri","43.0758","58.9067","70100","Uzbekistan"
"Nurota","40.5650","65.6850","21001","Uzbekistan"
"Kattaqo'rg'on Shahri","39.8958","66.2656","58950","Uzbekistan"
"Shahrisabz","39.0500","66.8333","100300","Uzbekistan"
"G`uzor","38.6208","66.2481","17253","Uzbekistan"
"Qunghirot","43.0704","58.9000","57758","Uzbekistan"
"Chimboy Shahri","42.9311","59.7708","36917","Uzbekistan"
"Kosonsoy","41.2492","71.5458","31217","Uzbekistan"
"Navoiy","40.0833","65.3833","134100","Uzbekistan"
"Bekobod","40.2258","69.2292","82082","Uzbekistan"
"Vobkent Shahri","40.0233","64.5139","12351","Uzbekistan"
"Bo`ston","41.8478","60.9300","8488","Uzbekistan"
"Uchquduq Shahri","42.1567","63.5556","24200","Uzbekistan"
"Kogon Shahri","39.7211","64.5458","107566","Uzbekistan"
"Jizzax","40.1167","67.8500","163200","Uzbekistan"
"Juma Shahri","39.7094","66.6614","15571","Uzbekistan"
"Chiroqchi","39.0336","66.5722","13220","Uzbekistan"
"Andijon","40.7000","72.3500","441700","Uzbekistan"
"Bo`ka","40.8111","69.1942","28000","Uzbekistan"
"Tinchlik","40.4264","71.4956","10644","Uzbekistan"
"Limbur","40.0667","71.1006","3500","Uzbekistan"
"Yangiyer","40.2667","68.8167","28593","Uzbekistan"
"Qorasuv","40.7222","72.8872","19454","Uzbekistan"
"Angren","41.0167","70.1333","126962","Uzbekistan"
"Farg`ona","40.3864","71.7864","340600","Uzbekistan"
"Guliston","40.4833","68.7833","55600","Uzbekistan"
"Zarafshon Shahri","41.5667","64.2000","54300","Uzbekistan"
"Bukhara","39.7747","64.4286","272500","Uzbekistan"
"Termiz","37.2242","67.2783","136200","Uzbekistan"
"Payshamba Shahri","40.0078","66.2372","32568","Uzbekistan"
"Rishton","40.3567","71.2847","23706","Uzbekistan"
"Shumanay","42.6386","58.9172","10513","Uzbekistan"
"Urgut Shahri","39.4007","67.2607","99675","Uzbekistan"
