"city","lat","lng","population", "country"
"Cantaura","9.3005","-64.3564","89552","Venezuela"
"Porlamar","10.9556","-63.8478","120924","Venezuela"
"Mucuchies","8.7500","-70.9167","5900","Venezuela"
"San Felipe","10.3353","-68.7458","76766","Venezuela"
"San Jose de Aerocuar","10.6014","-63.3278","11162","Venezuela"
"Zaraza","9.3394","-65.3167","62027","Venezuela"
"San Antonio del Tachira","7.8145","-72.4431","61630","Venezuela"
"Mapire","7.7411","-64.7107","5326","Venezuela"
"Guatire","10.4717","-66.5406","187262","Venezuela"
"Anaco","9.4333","-64.4667","162704","Venezuela"
"El Dorado","6.7167","-61.6167","2383","Venezuela"
"Charallave","10.2431","-66.8622","117707","Venezuela"
"Barcelona","10.1333","-64.6833","448016","Venezuela"
"Turmero","10.2283","-67.4753","254880","Venezuela"
"Onoto","9.5958","-65.1897","11378","Venezuela"
"Los Teques","10.3411","-67.0406","251200","Venezuela"
"Calabozo","8.9219","-67.4283","131989","Venezuela"
"Yaritagua","10.0800","-69.1261","140256","Venezuela"
"Santa Lucia","10.2606","-66.6639","112357","Venezuela"
"Quibor","9.9281","-69.5778","110536","Venezuela"
"Puerto Cabello","10.4667","-68.0167","209080","Venezuela"
"Guacara","10.2261","-67.8770","200212","Venezuela"
"Ciudad Ojeda","10.2000","-71.3000","122124","Venezuela"
"Sanare","9.7822","-69.7931","48764","Venezuela"
"Valencia","10.1667","-68.0000","1484430","Venezuela"
"Maracay","10.2469","-67.5958","407109","Venezuela"
"Trujillo","9.3667","-70.4331","50353","Venezuela"
"Socopo","8.2322","-70.8206","110512","Venezuela"
"Tucupita","9.0575","-62.0452","86487","Venezuela"
"Valera","9.3206","-70.6078","191167","Venezuela"
"Baruta","10.4335","-66.8754","240755","Venezuela"
"Altagracia de Orituco","9.8504","-66.3800","40052","Venezuela"
"Palo Negro","10.1600","-67.5582","153706","Venezuela"
"Caripito","10.1110","-63.1048","64955","Venezuela"
"San Juan de los Morros","9.9010","-67.3540","87739","Venezuela"
"Punto Fijo","11.7167","-70.1833","287558","Venezuela"
"Rubio","7.7000","-72.3500","95041","Venezuela"
"Santa Teresa del Tuy","10.2333","-66.6500","525321","Venezuela"
"La Esmeralda","3.1738","-65.5466","150","Venezuela"
"Puerto La Cruz","10.2167","-64.6167","306261","Venezuela"
"Cabudare","10.0331","-69.2633","70578","Venezuela"
"Ciudad Bolivar","8.1167","-63.5500","567953","Venezuela"
"Tocuyito","10.0889","-68.0922","197446","Venezuela"
