"city","lat","lng","population", "country"
"Quang Tri","16.7504","107.2000","72722","Vietnam"
"Tan An","10.5322","106.4042","137498","Vietnam"
"Di An","10.9039","106.7679","73859","Vietnam"
"Hoa Binh","20.8175","105.3375","121309","Vietnam"
"Son La","21.3270","103.9141","19054","Vietnam"
"Quang Ngai","15.1206","108.7922","260252","Vietnam"
"Hue","16.4637","107.5908","455230","Vietnam"
"Can Tho","10.0333","105.7833","1237300","Vietnam"
"Buon Ma Thuot","12.6667","108.0500","340000","Vietnam"
"Sa Dec","10.3105","105.7397","213610","Vietnam"
"Tuy Hoa","13.0869","109.3086","242840","Vietnam"
"Bien Hoa","10.9277","106.8681","1104000","Vietnam"
"Ho Chi Minh City","10.8167","106.6333","13312000","Vietnam"
"Luan Chau","21.7400","103.3430","7335","Vietnam"
"Binh Long","11.6504","106.6000","40279","Vietnam"
"Ca Mau","9.1833","105.1500","315270","Vietnam"
"Tuyen Quang","21.8281","105.2156","36430","Vietnam"
"Cam Pha","21.0094","107.2728","156000","Vietnam"
"Mang La","14.3838","107.9833","105489","Vietnam"
"Vung Tau","10.4042","107.1417","327000","Vietnam"
"Cao Bang","22.6731","106.2500","41112","Vietnam"
"Haiphong","20.8000","106.6667","2103500","Vietnam"
"Chau Doc","10.7000","105.1167","157298","Vietnam"
"Pleiku","13.9715","108.0147","146073","Vietnam"
"Vi Thanh","9.7833","105.4708","97200","Vietnam"
"Thanh Hoa","19.8075","105.7764","393294","Vietnam"
"My Tho","10.3500","106.3500","124143","Vietnam"
"Hanoi","21.0245","105.8412","7785000","Vietnam"
"Phu Quoc","10.2289","103.9572","70000","Vietnam"
"Bac Lieu","9.2833","105.7167","225000","Vietnam"
"Dong Ha","16.8056","107.0906","17662","Vietnam"
"Lang Son","21.8478","106.7578","148000","Vietnam"
"Ha Giang","22.8233","104.9836","38362","Vietnam"
"Phan Rang-Thap Cham","11.5643","108.9886","179773","Vietnam"
"Tay Ninh","11.3131","106.0963","126370","Vietnam"
"Bac Ninh","21.1861","106.0763","520000","Vietnam"
"Hai Duong","20.9399","106.3309","507469","Vietnam"
"Ha Long","20.9514","107.0852","172915","Vietnam"
"Dong Hoi","17.4833","106.6000","160325","Vietnam"
"Thai Binh","20.4461","106.3422","268167","Vietnam"
"Thu Dau Mot","11.0042","106.6583","244277","Vietnam"
"Bac Giang","21.2731","106.1947","53728","Vietnam"
"Yen Bai","21.7000","104.8667","96540","Vietnam"
"Cam Ranh","11.9020","109.2207","146771","Vietnam"
"Cam Ranh","11.9136","109.1369","125311","Vietnam"
"Nam Dinh","20.4200","106.1683","352108","Vietnam"
"Hoi An","15.8777","108.3327","121716","Vietnam"
"Viet Tri","21.3136","105.3947","277539","Vietnam"
"Soc Trang","9.6000","105.9719","300000","Vietnam"
"Ha Tien","10.3833","104.4833","47039","Vietnam"
"Quy Nhon","13.7696","109.2314","311000","Vietnam"
"Rach Gia","10.0125","105.0808","250660","Vietnam"
"Vinh","18.6733","105.6922","490000","Vietnam"
"Quang Ha","16.0600","108.2500","1000000","Vietnam"
"Thai Nguyen","21.6000","105.8500","330000","Vietnam"
"Ha Tinh","18.3431","105.9058","165396","Vietnam"
"Cao Lanh","10.4603","105.6331","149837","Vietnam"
"Tra Vinh","9.9369","106.3411","131360","Vietnam"
"Phan Thiet","10.9375","108.1583","205333","Vietnam"
"Lao Cai","22.4194","103.9950","67206","Vietnam"
"Son Tay","21.1382","105.5050","189547","Vietnam"
"Thu Duc","10.8199","106.7909","1013795","Vietnam"
"Bac Kan","22.1514","105.8377","29227","Vietnam"
"Vinh Long","10.2550","105.9753","103314","Vietnam"
"Ninh Binh","20.2539","105.9750","130517","Vietnam"
"Ap Da Loi","11.9304","108.4200","256019","Vietnam"
"Long Xuyen","10.3686","105.4234","278658","Vietnam"
"Ben Tre","10.2333","106.3833","59442","Vietnam"
"Nha Trang","12.2495","109.1908","392279","Vietnam"
