"city","lat","lng","population","country"
"Ma`bar","14.7939","44.2936","24707","Yemen"
"Lahij","13.0500","44.8833","30661","Yemen"
"Ta`izz","13.5789","44.0219","596672","Yemen"
"Al Bayda'","13.9790","45.5740","37821","Yemen"
"Bayt al Faqih","14.5167","43.3167","41652","Yemen"
"Shakhab","14.5586","45.2983","548","Yemen"
"Al Ghayzah","16.2394","52.1638","27404","Yemen"
"Hajjah","15.6950","43.5975","46568","Yemen"
"Hayr","14.6425","45.2133","63","Yemen"
"Bajil","15.0583","43.2850","46005","Yemen"
"Al Qa`idah","13.7569","44.1392","39254","Yemen"
"Kawkaban","15.5000","43.9000","1705","Yemen"
"Markaz Mudhaykirah","13.8855","43.9672","1245","Yemen"
"Zabid","14.2000","43.3167","50781","Yemen"
"Zinjibar","13.1283","45.3803","70801","Yemen"
"Tarim","16.0500","49.0000","105552","Yemen"
"Ja`ar","13.2167","45.3000","29495","Yemen"
"Sa`dah","16.9358","43.7644","70203","Yemen"
"Dhamar","14.5500","44.4017","160114","Yemen"
"Al Mahwit","15.4694","43.5453","10593","Yemen"
"Ma'rib","15.4228","45.3375","16794","Yemen"
"Aden","12.8000","45.0333","507355","Yemen"
"Qalansiyah","12.6833","53.4833","4741","Yemen"
"Ad Dis ash Sharqiyah","14.8833","49.8667","16614","Yemen"
"Ash Shihr","14.7608","49.6069","68313","Yemen"
"Rada`","14.4295","44.8341","45233","Yemen"
"Sanaa","15.3500","44.2000","2957000","Yemen"
"Al Hudaydah","14.8022","42.9511","548433","Yemen"
"Sayhut","15.2105","51.2454","189","Yemen"
"Raydah","15.8233","44.0386","13971","Yemen"
"Jiblah","13.9167","44.1500","15431","Yemen"
"`Ataq","14.5500","46.8000","37315","Yemen"
"Mocha","13.3167","43.2500","14562","Yemen"
"Ash Shaykh `Uthman","12.8866","45.0279","105248","Yemen"
"Bayt al Haqsh","15.3030","43.9960","412","Yemen"
"Dawran ad Daydah","14.7608","44.1904","5695","Yemen"
"Hadibu","12.6519","54.0239","11396","Yemen"
"Al Mukalla","14.5333","49.1333","144137","Yemen"
"Waqash","15.1667","44.0833","791","Yemen"
"Khamir","15.9900","43.9500","15333","Yemen"
"Ibb","13.9759","44.1709","234837","Yemen"
"Ibb","13.9667","44.1667","225611","Yemen"
"Ar Rawdah","14.4800","47.2700","6649","Yemen"
"Say'un","15.9430","48.7873","68747","Yemen"
"Yarim","14.2978","44.3778","34805","Yemen"
