"city","lat","lng","population","country"
"Nyimba","-14.5495","30.8100","1336","Zambia"
"Kasama","-10.1996","31.1799","200000","Zambia"
"Mbala","-8.8400","31.3700","20570","Zambia"
"Kafue","-15.7800","28.1800","47554","Zambia"
"Livingstone","-17.8500","25.8667","136897","Zambia"
"Kasempa","-13.4596","25.8200","5622","Zambia"
"Chinsali","-10.5496","32.0600","14015","Zambia"
"Mpika","-11.8300","31.4600","28445","Zambia"
"Sesheke","-17.4806","24.3064","20149","Zambia"
"Chingola","-12.5447","27.8708","147448","Zambia"
"Kawambwa","-9.7795","29.0800","20589","Zambia"
"Mazabuka","-15.8667","27.7667","203219","Zambia"
"Nchelenge","-9.3467","28.7344","147927","Zambia"
"Kitwe","-12.8208","28.2119","504194","Zambia"
"Chililabombwe","-12.3667","27.8333","90530","Zambia"
"Lundazi","-12.2895","33.1700","11635","Zambia"
"Luanshya","-13.1333","28.4000","117579","Zambia"
"Lusaka","-15.4167","28.2833","1742979","Zambia"
"Ndola","-12.9683","28.6337","528330","Zambia"
"Kabwe","-14.4333","28.4500","117517","Zambia"
"Chipata","-13.6386","32.6453","98416","Zambia"
"Kaoma","-14.7796","24.8000","14212","Zambia"
"Solwezi","-12.1833","26.4000","65000","Zambia"
"Kalabo","-14.9896","22.6800","7731","Zambia"
"Lukulu","-14.3896","23.2400","3349","Zambia"
"Zambezi","-13.5400","23.1099","7074","Zambia"
"Mufulira","-12.5546","28.2604","122336","Zambia"
"Senanga","-16.1196","23.2700","10005","Zambia"
"Mwinilunga","-11.7396","24.4400","13798","Zambia"
"Choma","-16.8095","26.9700","46746","Zambia"
"Kashikishi","-9.3172","28.7331","150000","Zambia"
"Mongu","-15.2796","23.1200","52534","Zambia"
"Mansa","-11.1822","28.8833","129185","Zambia"
"Mumbwa","-14.9796","27.0700","19086","Zambia"
"Kapiri Mposhi","-13.9696","28.6600","37942","Zambia"
