"city","lat","lng","population","country"
"Hwange","-18.3647","26.5000","42581","Zimbabwe"
"Kadoma","-18.3500","29.9167","79174","Zimbabwe"
"Kariba","-16.5333","28.8000","24210","Zimbabwe"
"Shamva","-17.3196","31.5700","10317","Zimbabwe"
"Masvingo","-20.0744","30.8328","72527","Zimbabwe"
"Zvishavane","-20.3333","30.0333","35229","Zimbabwe"
"Marondera","-18.1833","31.5500","52283","Zimbabwe"
"Gwanda","-20.9450","29.0250","14450","Zimbabwe"
"Mazoe","-17.5196","30.9700","9966","Zimbabwe"
"Gweru","-19.4580","29.8200","141260","Zimbabwe"
"Harare","-17.8292","31.0522","2150000","Zimbabwe"
"Chinhoyi","-17.3500","30.2000","56794","Zimbabwe"
"Kwekwe","-18.9167","29.9833","93072","Zimbabwe"
"Plumtree","-20.4869","27.8042","2148","Zimbabwe"
"Ruwa","-17.8897","31.2447","22038","Zimbabwe"
"Chiredzi","-21.0496","31.6600","28205","Zimbabwe"
"Chitungwiza","-18.0000","31.1000","340360","Zimbabwe"
"Redcliff","-19.0333","29.7833","32346","Zimbabwe"
"Mutare","-18.9728","32.6694","188243","Zimbabwe"
"Bindura","-17.3000","31.3333","46275","Zimbabwe"
"Bulawayo","-20.1667","28.5667","653337","Zimbabwe"
"Victoria Falls","-17.9333","25.8333","33060","Zimbabwe"
"Beitbridge","-22.2167","30.0000","41767","Zimbabwe"
"Chivhu","-19.0211","30.8922","10263","Zimbabwe"
"Karoi","-16.8196","29.6800","25030","Zimbabwe"
